eixo_responsavel,nome_responsavel,nome_acao,tipo_acao,data_acao,local_acao,municipio,publico_alvo,impactos_diretos,Tipo da ação.
Educação,,Faz Teu nome,Oficina,21/08/2025,Multicenter Sebrae,São Luís,Público Geral,12,Oficina de Games
Educação,,Faz Teu nome,Oficina,21/08/2025,Multicenter Sebrae,São Luís,Público Geral,24,Oficina de Robótica (Básica e/ou Avançado
Educação,,Faz Teu nome,Oficina,22/08/2025,Multicenter Sebrae,São Luís,Público Geral,7,Oficina de Impressão 3D
Educação,,Mobiliza - Locomotiva hub,Oficina,09/09/2025,Locomotiva HUB,São Luís,Público Geral,6,Robótica Maker
Educação,,Mobiliza - Locomotiva hub,Oficina,10/09/2025,Locomotiva HUB,São Luís,Público Geral,5,Oficina de Games
Educação,,Mobiliza - Locomotiva hub,Oficina,12/09/2025,Locomotiva HUB,São Luís,Público Geral,13,Oficina de Impressão 3D
Educação,,Oficina de Games,Oficina,13/09/2025,Estação Tech João de Deus,São Luís,Estudantes,13,Oficina de Games
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,15/09/2025,Santa Luzia,Santa Luzia,Professores,,Oficina de Robótica (Básica e/ou Avançado
Educação,,Ofiinca de Robotica educacional para professores,Oficina,15/09/2025,Santa Luzia,Santa Luzia,Professores,30,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de IA Generativa,Oficina,16/09/2025,Santa Luzia,Santa Luzia,Professores,,Oficina de IA Generativa
Educação,,Oficina de impressão 3D para professores,Oficina,16/09/2025,Santa Luzia,Santa Luzia,Professores,30,Oficina de Impressão 3D
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,17/09/2025,Santa Luzia,Santa Luzia,Estudantes,,Oficina de Robótica (Básica e/ou Avançado
Educação,,Ofiinca de Robotica basica e avançada para alunos da rede publica. 6 alunos pela manhã e os mesmos retornaram pela tarde,Oficina,17/09/2025,Santa Luzia,Santa Luzia,Estudantes,6,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,19/09/2025,IEMA Barjonas Lobão,São Luís,Estudantes,13,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de IA Generativa,Oficina,20/09/2025,Escola Municipal Iguaiba,São Luís,Estudantes,10,Oficina de IA Generativa
Educação,,Oficina de Impressão 3D,Oficina,22/09/2025,IEMA pleno Jardim América,São Luís,Estudantes,23,Oficina de Impressão 3D
Educação,,Oficina de Games,Oficina,22/09/2025,IEMA pleno Jardim América,São Luís,Estudantes,21,Oficina de Games
Educação,,Oficina de Robotica Básica para a população,Oficina,22/09/2025,ET Gonsaçves dias,Gonçalves Dias,Estudantes,32,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Informatica Básica para a população,Oficina,23/09/2025,ET Gonsaçves dias,Gonçalves Dias,Estudantes,45,Oficina de Informática Básica
Educação,,Oficina de Impressão 3D,Oficina,25/09/2025,Escola Municipal Liceu Ribamarense,São José de Ribamar,Estudantes,30,Oficina de Impressão 3D
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,25/09/2025,Escola Municipal Liceu Ribamarense,São José de Ribamar,Estudantes,30,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Modelagem e Impressão 3D para a população,Oficina,24/09/2025,ET Gonsaçves dias,Gonçalves Dias,Estudantes,45,Oficina de Canva
Educação,,Oficina de Modelagem e Impressão 3D para a população,Oficina,25/09/2025,ET Gonsaçves dias,Gonçalves Dias,Estudantes,48,Oficina de Impressão 3D
Educação,,Oficina de Games,Oficina,26/09/2025,Escola Municipal Liceu Ribamarense,São José de Ribamar,Estudantes,32,Oficina de Games
Educação,,Oficina de Games,Oficina,26/09/2025,Escola Municipal Liceu Ribamarense,São José de Ribamar,Estudantes,30,Oficina de Games
Educação,,Oficina de Impressão 3D,Oficina,30/09/2025,Moropóia | CE SÃO JOSÉ DE RIBAMAR,São José de Ribamar,Estudantes,25,Oficina de Impressão 3D
Educação,,Oficina de IA Generativa,Oficina,01/10/2025,Anjo da Guarda | IEMA TAMANCÃO,São Luís,Professores,20,Oficina de IA Generativa
Educação,,Oficina de IA Generativa,Oficina,01/10/2025,B. Fatima | IEMA Gonçalves Dias,São Luís,Professores,36,Oficina de IA Generativa
Educação,,Oficina de IA Generativa,Oficina,03/10/2025,FORQUILHA | CE ESTADO DE MATO GROSSO,São Luís,Professores,20,Oficina de IA Generativa
Educação,,Criança Engenharia,Oficina,10/10/2025,UEMA,São Luís,Estudantes,60,Robótica Maker
Educação,,Semana Nacional de Ciência e Tecnologia,Oficina,21/10/2025,Centro de Conveções UFMA,São Luís,Estudantes,36,Robótica Lego
Educação,,Semana Nacional de Ciência e Tecnologia,Oficina,22/10/2025,Centro de Conveções UFMA,São Luís,Estudantes,70,Robótica Lego
Educação,,Semana Nacional de Ciência e Tecnologia,Oficina,23/10/2025,Centro de Conveções UFMA,São Luís,Estudantes,36,Robótica Lego
Educação,,Semana Nacional de Ciência e Tecnologia,Oficina,24/10/2025,Centro de Conveções UFMA,São Luís,Estudantes,24,Robótica Lego
Educação,,Ideathon e Oficinas Colinas,Oficina,30/10/2025,CE João Pessoa - Colinas,Colinas,Estudantes,30,Oficina de Impressão 3D
Educação,,Ideathon e Oficinas Colinas,Oficina,31/10/2025,IEMA Colinas,Colinas,Estudantes,60,Oficina de Impressão 3D
Educação,,Oficina de Canva,Oficina,10/11/2025,IEMA MARIA MÔNICA VALE,São Luís,Estudantes,25,Oficina de Canva
Educação,,Oficina de Impressão 3D,Oficina,11/11/2025,IEMA MARIA MÔNICA VALE,São Luís,Estudantes,26,Oficina de Impressão 3D
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,13/11/2025,UEB Iguaiba,Paço do Lumiar,Estudantes,21,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Impressão 3D,Oficina,18/11/2025,IEMA MARIA MÔNICA VALE,São Luís,Estudantes,37,Oficina de Impressão 3D
Educação,,Oficina de Impressão 3D,Oficina,19/11/2025,IEMA MARIA MÔNICA VALE,São Luís,Estudantes,30,Oficina de Impressão 3D
Educação,,Oficina de Robótica (Básica e/ou Avançado,Oficina,27/11/2025,Centro Educa Mais João Batista de Carvalho,Santa Rita,Estudantes,120,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Games,Oficina,28/11/2025,CE Luiz Alves Ferreira,São Luís,Estudantes,30,Oficina de Games
